preco;ano_lanc;mes_lanc;dorm;banh;garag;area_util;meses_entrega;pq_proximo;fav_proxima;met_proximo;cptm_proxima;preco_m2u
564649,5625;3;12;3;3;2;146,2799988;31;1093,447021;1850,511963;3169,375977;1723,017944;3860,060059
249899,5781;2;4;4;3;2;126;29;3137,906982;2144,365967;2571,10791;686,6107788;1983,329956
290328,2813;5;5;3;2;3;102,4400024;47;917,862793;598,885498;1634,052979;2538,87207;2834,129883
226419,7344;4;9;3;2;2;94,05000305;29;2266,822021;1696,104004;2970,408936;2204,695068;2407,439941
130300,1641;6;6;2;1;1;53,11999893;31;918,5004272;744,8355103;6026,498047;1881,310059;2452,939941
216484,3281;3;6;3;2;2;85,26999664;30;1004,208008;1020,473999;4457,589844;942,0792847;2538,810059
796399,1875;7;6;4;3;3;180;34;1675,727051;1956,358032;1644,869995;1725,832031;4424,439941
266000,4063;4;5;3;2;2;84,26000214;30;1098,182007;222,9568024;784,5792236;4696,133789;3156,899902
113335,0469;4;12;2;2;1;61,36999893;19;594,8395996;1405,145996;234,9945068;1920,791992;1846,75
1900000,75;2;5;4;4;5;334,75;19;792,3917236;2676,12207;2280,375977;2313,894043;5675,879883
557300,8125;4;9;4;3;4;166,3500061;32;2355,792969;2153,633057;1913,245972;1201,587036;3350,169922
42999,83203;3;4;2;1;1;47;0;319,1303101;159,3486023;4095,928955;8497,029297;914,8900146
104099,8984;6;11;2;1;1;55,47999954;32;603,7756958;606,866272;5580,911133;5440,029785;1876,349976
123900,1875;8;3;2;1;1;46,79999924;30;875,5421753;213,4880066;1263,776978;2759,73291;2647,439941
2225001;4;12;4;4;6;349,2799988;23;929,5496826;1870,415039;5375,202148;2238,605957;6370,25
193955,2969;7;12;3;2;1;70;36;1427,542969;1008,807007;4147,411133;1605,151978;2770,790039
74999,80469;3;11;3;1;1;67;24;3789,38208;185,2756958;3608,147949;5701,73584;1119,400024
754346,125;3;5;3;3;4;168,7899933;25;1681,89502;1742,749023;2232,873047;716,3474731;4469,140137
1253000,125;5;10;4;4;5;287,9500122;32;2144,436035;887,9423218;4492,198242;1722,599976;4351,450195
671514,75;6;9;4;3;3;180,0800018;35;976,022522;75,94098663;3518,5;2629,749023;3728,97998
235512,2969;3;8;3;2;2;95,61000061;29;827,9338989;260,3583984;922,3508301;2576,860107;2463,26001
343309,875;2;11;4;3;3;142,9600067;35;2425,513916;1528,805054;1459,360962;1323,844971;2401,439941
499990,9375;6;4;4;3;3;168,3800049;36;1443,597046;3116,01709;27,98152924;3007,881104;2969,419922
315000,4688;6;6;3;2;2;110,0199966;39;1285,001953;1058,114014;4099,658203;1299,229004;2863,120117
269995,8438;2;3;3;2;2;100,5500031;36;1373,86499;819,34198;2035,145996;3877,983887;2685,189941
1899450,25;5;12;4;4;5;281,3500061;36;621,7506714;1176,842041;2594,774902;3203,001953;6751,200195
63999,93359;7;10;1;1;1;33,59999847;0;556,1558838;1781,495972;343,156311;1321,025024;1904,76001
895399,5;5;8;4;3;3;201,5;36;586,7891235;1227,588013;3727,715088;1098,383057;4443,669922
248999,6094;3;4;3;2;2;100,2200012;30;1977,197021;507,9039001;276,5610962;4183,147949;2484,530029
1199998,75;2;7;4;4;4;312;24;620,1043701;2798,63501;766,3519287;2870,919922;3846,149902
149100,1406;5;11;2;2;1;59,75;27;1250,312988;531,758728;706,8549194;5878,594238;2495,399902
187150,125;3;6;2;2;1;67,06999969;36;884,3607788;961,7310181;2399,318115;3461,726074;2790,370117
758139,4375;7;12;4;3;3;167,1000061;36;2839,76001;1849,886963;2449,217041;1970,129028;4537,040039
500000;5;8;3;3;3;128;2;1474,229004;711,0944214;728,4160767;1852,844971;3906,25
309999,7813;7;3;3;2;2;110;1;552,6682129;370,9783936;2588,894043;910,1234741;2818,179932
322000,4375;5;11;4;2;2;106;30;1451,097046;1164,748047;3192,149902;1281,432007;3037,73999
542195,8125;5;8;4;3;2;141,0399933;28;1901,071045;40,12002182;105,9039001;3677,050049;3844,27002
414000,3438;6;8;4;3;2;143,0299988;33;779,0750122;749,1696167;4751,522949;649,3610229;2894,5
649902,3125;7;6;4;4;4;223,6300049;36;500,5245972;471,9891968;2149,851074;2667,291992;2906,149902
81299,86719;3;5;2;1;1;47,31000137;28;2887,748047;2364,460938;2293,038086;2340,624023;1718,449951
467096,75;7;12;3;2;2;114,6699982;18;1761,45105;1737,026001;1459,35498;1767,232056;4073,399902
135000,2188;5;5;1;1;1;44,04000092;34;1012,304016;807,9849243;460,4075012;3749;3065,399902
895801,0625;6;10;4;4;4;208,3200073;36;2077,235107;589,0686035;326,6586914;4162,254883;4300,120117
238699,7813;2;10;3;2;2;89,90000153;29;1470,208008;726,1016235;382,9508972;2498,022949;2655,169922
66000,17188;2;9;3;1;1;61;13;2516,26709;1144,342041;2740,295898;4653,684082;1081,969971
109199,7969;4;12;2;2;2;56,13000107;22;807,5170288;663,9431763;7008,5;4915,850098;1945,47998
256999,5781;4;11;4;2;2;103,25;35;932,9874268;371,7190857;343,7470093;5822,888184;2489,100098
170000,0625;2;5;3;2;2;88,01999664;24;182,7743988;759,6176758;5647,037109;3234,366943;1931,380005
251000,5938;2;6;3;2;3;119,8700027;20;2425,446045;1550,467041;1476,421997;1306,256958;2093,939941
1339000,5;7;2;4;4;4;223,6699982;33;586,0941772;1318,22998;3565,989014;1044,412964;5986,5
65999,9375;4;5;2;1;1;51,90999985;19;103,1598969;497,2879944;2102,855957;1721,897949;1271,430054
714203,625;6;9;4;3;3;193,5700073;15;2062,985107;1150,738037;572,7670288;5158,204102;3689,639893
414000,0313;5;9;4;3;2;124;35;1081,54895;1934,843018;3671,123047;2196,754883;3338,709961
232500,3594;3;6;3;2;2;90,69999695;23;214,3498993;2505,114014;1438,80896;2297,178955;2563,399902
134399,7969;3;12;2;2;1;57,90000153;31;509,6874084;1027,612061;2091,26001;754,0629883;2321,23999
1009299,75;7;12;4;4;3;203;36;915,3527222;1937,834961;3166,009033;1887,19397;4971,919922
220263,9219;2;3;4;2;2;104,6299973;24;1345,751953;597,47052;534,9481201;5907,771973;2105,169922
104300,1719;2;5;2;1;1;46,81000137;27;964,2905273;2371,263916;534,5021973;4260,686035;2228,159912
303950;6;12;3;2;3;100;26;2836,099121;1785,666992;460,828186;4875,679199;3039,5
865099,1875;6;12;3;3;3;166,6799927;30;1511,348022;1585,373047;2069,986084;671,6798096;5190,180176
173669,7656;7;7;3;2;2;64;35;2781,616943;562,0175171;1714,291992;1733,03894;2713,590088
179565,8594;2;8;1;1;1;44,13000107;34;419,4519043;2905,460938;425,9364929;3978,476074;4069,02002
105999,9219;4;2;1;1;1;35,25;22;254,5556946;2693,658936;1081,759033;2266,708008;3007,090088
294800,1875;5;7;4;2;3;115;38;957,1754761;1113,167969;3390,133057;3532,090088;2563,47998
160899,8906;7;11;2;1;1;59,5;36;1630,349976;593,2081299;1781,406006;1849,631958;2704,199951
405350,75;2;11;4;3;3;170,6000061;36;776,5769043;909,3408203;1603,192993;2124,48291;2376,030029
1178200,5;6;8;4;3;3;178,8099976;19;862,5499878;3101,959961;1141,609009;3347,978027;6589,120117
250000;5;11;3;2;2;80;13;2273,958008;579,3400879;526,5142822;4003,01709;3125
